HRV_MeanNN,{0: 577.0666666666667}
HRV_SDNN,{0: 123.6797666746048}
HRV_SDANN1,{0: nan}
HRV_SDNNI1,{0: nan}
HRV_SDANN2,{0: nan}
HRV_SDNNI2,{0: nan}
HRV_SDANN5,{0: nan}
HRV_SDNNI5,{0: nan}
HRV_RMSSD,{0: 173.7892479490682}
HRV_SDSD,{0: 174.9753248590069}
HRV_CVNN,{0: 0.21432491914499444}
HRV_CVSD,{0: 0.3011597411317032}
HRV_MedianNN,{0: 590.0}
HRV_MadNN,{0: 88.95599999999999}
HRV_MCVNN,{0: 0.1507728813559322}
HRV_IQRNN,{0: 180.0}
HRV_Prc20NN,{0: 430.0}
HRV_Prc80NN,{0: 660.0}
HRV_pNN50,{0: 61.33333333333333}
HRV_pNN20,{0: 74.66666666666667}
HRV_MinNN,{0: 370.0}
HRV_MaxNN,{0: 880.0}
HRV_HTI,{0: 12.5}
HRV_TINN,{0: 46.875}
HRV_ULF,{0: nan}
HRV_VLF,{0: nan}
HRV_LF,{0: 0.013761884664289875}
HRV_HF,{0: 0.15449807378192323}
HRV_VHF,{0: 0.024697583494312263}
HRV_LFHF,{0: 0.08907479768139387}
HRV_LFn,{0: 0.07132079174459868}
HRV_HFn,{0: 0.8006842968052715}
HRV_LnHF,{0: -1.8675736501529736}
shannon,(1.3311170344122498, {'Symbolization': 3, 'Base': 2})
SampEn,(0.36938728456916436, {'Dimension': 2, 'Delay': 1, 'Tolerance': 0.0005781702770141031})
Entropy_SVD,(0.15564529448982783, {'Dimension': 2, 'Delay': 1})
