HRV_MeanNN,{0: 812.4074074074074}
HRV_SDNN,{0: 54.11152652241115}
HRV_SDANN1,{0: nan}
HRV_SDNNI1,{0: nan}
HRV_SDANN2,{0: nan}
HRV_SDNNI2,{0: nan}
HRV_SDANN5,{0: nan}
HRV_SDNNI5,{0: nan}
HRV_RMSSD,{0: 92.07257186896669}
HRV_SDSD,{0: 92.94410511884294}
HRV_CVNN,{0: 0.066606392345799}
HRV_CVSD,{0: 0.1133330038961523}
HRV_MedianNN,{0: 810.0}
HRV_MadNN,{0: 74.13}
HRV_MCVNN,{0: 0.09151851851851851}
HRV_IQRNN,{0: 107.5}
HRV_Prc20NN,{0: 760.0}
HRV_Prc80NN,{0: 880.0}
HRV_pNN50,{0: 66.66666666666666}
HRV_pNN20,{0: 83.33333333333334}
HRV_MinNN,{0: 720.0}
HRV_MaxNN,{0: 910.0}
HRV_HTI,{0: 6.0}
HRV_TINN,{0: 156.25}
HRV_ULF,{0: nan}
HRV_VLF,{0: nan}
HRV_LF,{0: 0.00283593219628811}
HRV_HF,{0: 0.05454136197889557}
HRV_VHF,{0: 0.038372596088167024}
HRV_LFHF,{0: 0.05199599154464562}
HRV_LFn,{0: 0.02961812476743478}
HRV_HFn,{0: 0.5696232322448087}
HRV_LnHF,{0: -2.908795929766196}
shannon,(1.0838329055944982, {'Symbolization': 3, 'Base': 2})
SampEn,(0.13120215755741915, {'Dimension': 2, 'Delay': 1, 'Tolerance': 0.3855389482309267})
Entropy_SVD,(0.26478659909716373, {'Dimension': 2, 'Delay': 1})
