HRV_MeanNN,{0: 519.875}
HRV_SDNN,{0: 122.11733048614882}
HRV_SDANN1,{0: nan}
HRV_SDNNI1,{0: nan}
HRV_SDANN2,{0: nan}
HRV_SDNNI2,{0: nan}
HRV_SDANN5,{0: nan}
HRV_SDNNI5,{0: nan}
HRV_RMSSD,{0: 168.9917981681397}
HRV_SDSD,{0: 170.0711995544331}
HRV_CVNN,{0: 0.23489748590747547}
HRV_CVSD,{0: 0.32506236723854715}
HRV_MedianNN,{0: 490.0}
HRV_MadNN,{0: 74.13}
HRV_MCVNN,{0: 0.15128571428571427}
HRV_IQRNN,{0: 112.5}
HRV_Prc20NN,{0: 438.0}
HRV_Prc80NN,{0: 580.0}
HRV_pNN50,{0: 60.0}
HRV_pNN20,{0: 78.75}
HRV_MinNN,{0: 350.0}
HRV_MaxNN,{0: 900.0}
HRV_HTI,{0: 13.333333333333334}
HRV_TINN,{0: 140.625}
HRV_ULF,{0: nan}
HRV_VLF,{0: nan}
HRV_LF,{0: 0.01058192697284418}
HRV_HF,{0: 0.10102373178266014}
HRV_VHF,{0: 0.04149911685589115}
HRV_LFHF,{0: 0.10474694199190608}
HRV_LFn,{0: 0.06911559048754176}
HRV_HFn,{0: 0.6598339691184723}
HRV_LnHF,{0: -2.292399821596419}
shannon,(1.354974914288022, {'Symbolization': 3, 'Base': 2})
SampEn,(0.25791071483266853, {'Dimension': 2, 'Delay': 1, 'Tolerance': 0.12407085062048616})
Entropy_SVD,(0.22228252235437235, {'Dimension': 2, 'Delay': 1})
